Unnamed: 0,title,date,stock,sentiment
1060671.0,"Qumu Q1 EPS $(0.200) Misses $(0.130) Estimate, Sales $6.227M Miss $6.440M Estimate",2020-05-05 16:06:00-04:00,QUMU,negative
1060672.0,"Qumu Q4 EPS $(0.17) Misses $(0.14) Estimate, Sales $6.228M Miss $6.28M Estimate",2020-03-04 16:01:00-05:00,QUMU,negative
1060673.0,Dougherty Downgrades Qumu to Neutral,2020-02-12 08:03:00-05:00,QUMU,neutral
1060674.0,Craig-Hallum Downgrades Qumu to Hold,2020-02-12 04:48:00-05:00,QUMU,neutral
1060675.0,Craig-Hallum Downgrades Qumu From Buy To Hold,2020-02-11 17:09:00-05:00,QUMU,neutral
1060676.0,Qumu Shares To Resume Trade At 7:35 a.m. EDT,2020-02-11 07:15:00-05:00,QUMU,positive
1060677.0,Synacor And Qumu Announce All-Stock Merger,2020-02-11 07:14:00-05:00,QUMU,neutral
1060678.0,Qumu Sees Prelim. FY19 Sales $25.4M vs $27.26M Est.,2020-02-11 07:00:00-05:00,QUMU,neutral
1060679.0,Qumu Says /Used $4.8M Of Net Proceeds From Common Stock OFfering To Repay Term Debt In Full,2019-11-13 08:33:00-05:00,QUMU,negative
1060680.0,Qumu Prices ~3.18M Share Common Stock Offering At $2.50/Share,2019-11-07 09:28:00-05:00,QUMU,positive
1060681.0,"Qumu Q3 EPS $(0.11) Misses $(0.1) Estimate, Sales $6.7M Beat $6.65M Estimate",2019-10-31 16:03:00-04:00,QUMU,negative
1060682.0,Qumu Amended 13D From Dolphin Limited Partnership III Shows 6.1% Stake In Co.,2019-10-21 09:31:00-04:00,QUMU,negative
1060683.0,Qumu Files For $30M Mixed Shelf Offering,2019-08-26 17:37:00-04:00,QUMU,neutral
1060684.0,"Dougherty Initiates Coverage On Qumu with Buy Rating, Announces $6 Price Target",2019-07-10 09:32:00-04:00,QUMU,neutral
1060685.0,Qumu Signs International Partnership Agreement With London Startup CaptionHub,2019-06-18 09:15:00-04:00,QUMU,positive
1060686.0,"Qumu Q1 EPS $(0.1) Beats $(0.23) Estimate, Sales $7.098M Beat $5.6M Estimate",2019-04-30 16:11:00-04:00,QUMU,neutral
1060687.0,Hearing Craig-Hallum Upgraded Qumu To Buy; Unconfirmed,2019-03-06 15:36:00-05:00,QUMU,negative
1060688.0,Qumu Corp shares are trading higher after the company late Tuesday reported better-than-expected Q4 EPS and sales estimates.,2019-03-06 15:32:00-05:00,QUMU,positive
1060689.0,"Qumu Q4 EPS $(0.05) Beats $(0.11) Estimate, Sales $6.903M Beat $6.68M Estimate",2019-03-05 16:39:00-05:00,QUMU,neutral
1060690.0,"Qumu Corp. Q3 EPS $0.25 Beats $0.07 Estimate, Sales $5.7M Miss $6.12M Estimate",2018-10-30 16:29:00-04:00,QUMU,negative
1060691.0,"Qumu Reports Signing Of New Strategic Partnership Deals With AVI Systems, Genesis Integration, Whitlock, No Terms Disclosed",2018-09-10 09:32:00-04:00,QUMU,negative
1060692.0,"Qumu Q2 EPS $(0.16) Beats $(0.26) Estimate, Sales $7.626M Beat $5.75M Estimate",2018-07-31 16:12:00-04:00,QUMU,neutral
1060693.0,Qumu Reports Received $9.7M In Cash From Sale Of BriefCam Stock,2018-07-18 09:07:00-04:00,QUMU,neutral
1060694.0,Qumu Reports Received $1M In Qumu Cloud License Fees From iStudy,2018-05-09 09:02:00-04:00,QUMU,neutral
1060695.0,"Qumu 8-K Shows Canon Purchased All Outstanding Shares Of BriefCam, Which Qumu Holds $3.1M Convertible Preferred Stock Investment In, For ~$9.5M",2018-05-09 08:44:00-04:00,QUMU,positive
1060696.0,Qumu Reaffirms FY18 Guidance,2018-05-01 16:26:00-04:00,QUMU,neutral
1060697.0,"Qumu Q1 EPS $(0.48) Misses $(0.34) Est., Sales $4.8M Misses $5.65M Est.",2018-05-01 16:25:00-04:00,QUMU,negative
1060698.0,"Qumu Sees FY18 Sales ~$25M vs $31.3M Est., Adj. EBITDA Loss ~$3.5M",2018-03-06 16:16:00-05:00,QUMU,negative
1060699.0,"Qumu Reports Q4 EPS $(0.35), Inline, Sales $7.2M vs $7.25M Est.",2018-03-06 16:16:00-05:00,QUMU,neutral
